modelrun;bundle;bold
SSP2 2050;A;1
Diet;Diets;1
DietEmptyCals;Diets;
DietFish;Diets;
DietLegumes;Diets;
DietMonogastrics;Diets;
DietRuminants;Diets;
DietVegFruitsNutsSeeds;Diets;
NoOverweight;Diets;
HalfOverweight;Diets;
NoUnderweight;Diets;
LessFoodWaste;Diets;
Livelihoods;Livelihoods;1
LiberalizedTrade;Livelihoods;
MinWage;Livelihoods;
CapitalSubst;Livelihoods;
NatureSparing;Biosphere;1
REDDaff;Biosphere;
LandSparing;Biosphere;
PeatlandSparing;Biosphere;
WaterSparing;Biosphere;
BiodivSparing;Biosphere;
AgroMngmt;Agriculture;1
NitrogenEff;Agriculture;
CropRotations;Agriculture;
LandscapeElements;Agriculture;
RiceMit;Agriculture;
LivestockMngmt;Agriculture;
ManureMngmt;Agriculture;
SoilCarbon;Agriculture;
SSP2fsdp;Y;1
ExternalPressures;ExtTransformation;1
Population;ExtTransformation;
EconDevelop;ExtTransformation;
EnergyTrans;ExtTransformation;
Bioplastics;ExtTransformation;
TimberCities;ExtTransformation;
FSDP;Z;1
